Image,kaomoji
1.jpg,(〃∀〃)
2.jpg,(^_っ^)
3.jpg,(｡◕∀◕｡)
4.jpg,(́◉◞౪◟◉‵)
5.jpg,థ౪థ
6.jpg,(◔౪◔)
7.jpg,d(d＇∀＇)
8.jpg,d(`･∀･)b
9.jpg,(*´∀`)~♥
10.jpg,σ`∀´)σ
11.jpg,_(:3 」∠ )_
12.png,< (￣︶￣)>
13.png,(๑╹◡╹๑)
14.jpg,(｡◕∀◕｡)
15.png,( *´◒`*)
16.jpg,ヽ(́◕◞౪◟◕‵)ﾉ
17.jpg,ヽ(✿ﾟ▽ﾟ)ノ
18.png,ヽ(●´ε｀●)ノ
19.jpg,ε٩(๑> ₃ <)۶з
20.jpg,(σ′▽‵)′▽‵)σ
21.jpg,(శωశ)
22.jpg,(◔౪◔)
23.jpg,(✪ω✪)
24.jpg,(´≖◞౪◟≖)
25.jpg,(́=◞౪◟=‵)
26.jpg,(◔⊖◔)つ
27.jpg,(⁰▿⁰)
28.jpg,(∂ω∂)
29.jpg,(๑´ㅂ`๑)
30.jpg,(´◓Д◔`)
31.jpg,(๑´ڡ`๑)
32.jpg,ヽ(・×・´)ゞ
33.jpg,( σ՞ਊ ՞)σ
34.jpg,(灬ºωº灬)
35.jpg,(❛◡❛✿)
36.jpg,(◕ܫ◕)
37.jpg,( ิ◕㉨◕ ิ)
38.jpg,(๑• . •๑)
39.jpg,(´ΘωΘ`)
40.jpg,( ^ω^)
41.jpg,(ㅅ˘ㅂ˘)
42.jpg,(๑´ㅁ`)
43.jpg,(〒︿〒)
44.jpg,＼(●o○;)ノ
45.jpg,இдஇ
46.jpg,(´;ω;`)
47.jpg,(´Ａ｀。)
48.jpg,｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡
49.jpg,(╥﹏╥)
50.jpg,(☍﹏⁰)
51.jpg,(;´༎ຶД༎ຶ`)
52.jpg,ΩДΩ
53.jpg,( ´•̥×•̥` )
54.jpg,( ͡o ͜ʖ ͡o)
55.jpg,(*´艸`*)
56.jpg,(ﾉ∀`*)
57.jpg,(´◉‿◉｀)
58.jpg,(ノ〠_〠)
59.jpg,(・ω・)
60.jpg,(΄◞ิ౪◟ิ‵)
61.jpg,(つд⊂)
62.jpg,(๑´ㅂ`๑)
63.jpg,(๑´ڡ`๑)
64.jpg,(o´罒`o)
65.jpg,(´///☁///`)
66.jpg,(≧∀≦)ゞ
67.jpg,Ծ‸Ծ
68.jpg,(￫ܫ￩)
69.jpg,(◕ H ◕)
70.jpg,(๑´ㅁ`)
71.jpg,(ﾟд⊙)
72.jpg,(‘⊙д-)
73.jpg,(д) ﾟﾟ
74.jpg,(((ﾟдﾟ)))
75.jpg,(☉д⊙)
76.jpg,(●▼●;)
77.jpg,( ºΔº )
78.jpg,(´⊙ω⊙`)
79.jpg,(°ﾛ°٥)
80.jpg,( ºωº )
81.jpg,δ△δ
82.jpg,(ﾟ皿ﾟﾒ)
83.jpg,(#`皿´)
84.jpg,(#`Д´)ﾉ
85.jpg,(#`皿´)
86.jpg,(╬ﾟдﾟ)
87.jpg,(╬☉д⊙)
88.jpg,(ಠ益ಠ)
89.jpg,(╬ﾟ ◣ ﾟ)
90.jpg,(`へ´≠)
91.jpg,(・`ω´・)
92.jpg,⊙谷⊙
93.jpg,(； ･`д･´)
94.jpg,•_ゝ•
95.jpg,(╯•̀ὤ•́)╯
96.jpg,(ゝ∀･)
97.jpg,(◜◔。◔◝)
98.jpg,(　´・◡・｀)
99.jpg,( 3ω3)
100.jpg,(´Ａ｀。)
101.jpg,(●б人<●)
102.jpg,(`┌_┐´)
103.jpg,( •́ὤ•̀)
104.jpg,༼ ༎ຶ ෴ ༎ຶ༽
105.jpg,(；´ﾟωﾟ｀人)
106.jpg,(^ρ^)/
107.jpg,(๑´ㅁ`)
108.jpg,(￫ܫ￩)
109.jpg,(*´Д`)
110.jpg,(・ε・)
